"effort","total_infected","total_infected.1","total_infected.2","total_infected.3","total_infected.4","total_infected.5","total_infected.6","total_infected.7","total_infected.8","total_infected.9","total_infected.10","total_infected.11","total_infected.12","total_infected.13","total_infected.14","total_infected.15","total_infected.16","total_infected.17","total_infected.18","total_infected.19","total_infected.20","total_infected.21","total_infected.22","total_infected.23","total_infected.24","total_infected.25","total_infected.26","total_infected.27","total_infected.28","total_infected.29","total_infected.30","total_infected.31","total_infected.32","total_infected.33","total_infected.34","total_infected.35","total_infected.36","total_infected.37","total_infected.38","total_infected.39","total_infected.40","total_infected.41","total_infected.42","total_infected.43","total_infected.44","total_infected.45","total_infected.46","total_infected.47","total_infected.48","total_infected.49","total_infected.50","total_infected.51","total_infected.52","total_infected.53","total_infected.54","total_infected.55","total_infected.56","total_infected.57","total_infected.58","total_infected.59","total_infected.60","total_infected.61","total_infected.62","total_infected.63","total_infected.64","total_infected.65","total_infected.66"
0.3,104,4,4,4,2,8,5,28,3,11,9,201,7,2,10,6,2,7,2,51,11,15,7,6,12,11,6,2,11,2,83,23,2,2,108,2,30,12,2,5,4,82,3,4,4,5,244,14,51,43,2,185,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.31,104,4,4,4,2,8,5,28,3,11,9,201,7,2,10,6,2,7,2,4,11,15,7,6,12,11,6,2,11,2,83,23,2,2,108,2,30,12,2,5,4,82,3,4,4,5,244,14,38,43,2,185,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.32,103,4,4,4,2,8,5,28,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,6,12,11,6,2,11,2,83,23,2,2,108,2,30,12,2,5,4,82,3,4,4,5,240,14,38,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.33,103,4,4,4,2,8,5,28,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,6,12,11,6,2,11,2,83,23,2,2,108,2,30,12,2,5,4,82,3,4,4,5,240,14,38,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.34,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,6,12,11,6,2,11,2,83,23,2,2,108,2,30,12,2,5,4,82,3,4,4,5,240,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.35,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,6,12,11,6,2,11,2,83,23,2,2,105,2,30,12,2,5,4,82,3,4,4,5,238,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.36,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,6,12,11,6,2,11,2,83,23,2,2,105,2,30,12,2,5,4,82,3,4,4,5,238,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.37,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,6,12,11,6,2,11,2,83,23,2,2,105,2,30,12,2,5,4,82,3,4,4,5,238,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.38,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,6,12,11,6,2,11,2,83,23,2,2,105,2,30,12,2,5,4,82,3,4,4,5,238,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.39,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,28,12,2,5,4,82,3,4,4,5,238,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.4,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,28,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.41,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,28,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.42,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.43,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,27,8,2,21,15,5,4,5,3,10,4
0.44,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,5,3,10,4
0.45,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
0.46,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
0.47,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,11,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
0.48,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,10,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
0.49,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,10,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
0.5,103,4,4,4,2,8,5,23,3,11,9,199,7,2,10,6,2,7,2,4,10,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,5,235,5,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
0.51,103,4,4,4,2,8,5,20,3,11,9,199,7,2,10,6,2,7,2,4,10,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,3,235,4,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
0.52,103,4,4,4,2,8,5,20,3,11,9,199,7,2,10,6,2,7,2,4,10,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,3,235,4,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
0.53,103,4,4,4,2,8,5,20,3,11,9,199,7,2,10,6,2,7,2,4,10,15,7,3,12,11,6,2,11,2,83,23,2,2,105,2,27,12,2,5,4,82,3,4,4,3,235,4,4,39,2,183,3,4,3,3,26,8,2,21,15,5,4,4,3,10,4
